dataset,seed,method,ensemble_type,ensemble_size,ensemble_unique_size,nll_test,c1,c2,epi_scalar,ensemble_time,calibration_time,path
imdb,0,pure_logits,greedy_unique_5_baseline,5,5,0.11497282236814499,,,,0.10030078887939453,0.0,llm_experiments_data/arrays/extended_imdb_0_pure_logits_greedy_unique_5_baseline_2025-09-14.npz
imdb,0,pure_logits,greedy_50_baseline,50,19,0.10307570546865463,,,,1.3572607040405273,0.0,llm_experiments_data/arrays/extended_imdb_0_pure_logits_greedy_50_baseline_2025-09-14.npz
imdb,0,pure_logits,greedy_50_temp_baseline,50,19,0.10304928570985794,1.0163265306122449,,,1.3572607040405273,0.009757280349731445,llm_experiments_data/arrays/extended_imdb_0_pure_logits_greedy_50_temp_baseline_2025-09-14.npz
imdb,0,pure_logits,greedy_unique_5_temp_baseline,5,5,0.10353150218725204,1.4571428571428573,,,0.10030078887939453,0.005938053131103516,llm_experiments_data/arrays/extended_imdb_0_pure_logits_greedy_unique_5_temp_baseline_2025-09-14.npz
imdb,0,pure_logits,greedy_unique_5_post_calib,5,5,0.10069886595010757,1.6423157017909205,0.42982090795501876,1,0.10030078887939453,1.9955706596374512,llm_experiments_data/arrays/extended_imdb_0_pure_logits_greedy_unique_5_post_calib_2025-09-14.npz
imdb,0,pure_logits,greedy_50_post_calib,50,19,0.09718386083841324,1.53076218242399,0.614743856726364,1,1.3572607040405273,11.75348424911499,llm_experiments_data/arrays/extended_imdb_0_pure_logits_greedy_50_post_calib_2025-09-14.npz
imdb,1,pure_logits,greedy_unique_5_baseline,5,5,0.1155015230178833,,,,0.07296562194824219,0.0,llm_experiments_data/arrays/extended_imdb_1_pure_logits_greedy_unique_5_baseline_2025-09-14.npz
imdb,1,pure_logits,greedy_50_baseline,50,18,0.10343439131975174,,,,1.3804805278778076,0.0,llm_experiments_data/arrays/extended_imdb_1_pure_logits_greedy_50_baseline_2025-09-14.npz
imdb,1,pure_logits,greedy_50_temp_baseline,50,18,0.10300508141517639,1.0714285714285714,,,1.3804805278778076,0.008888006210327148,llm_experiments_data/arrays/extended_imdb_1_pure_logits_greedy_50_temp_baseline_2025-09-14.npz
imdb,1,pure_logits,greedy_unique_5_temp_baseline,5,5,0.09838077425956726,1.5673469387755103,,,0.07296562194824219,0.0059354305267333984,llm_experiments_data/arrays/extended_imdb_1_pure_logits_greedy_unique_5_temp_baseline_2025-09-14.npz
imdb,1,pure_logits,greedy_unique_5_post_calib,5,5,0.09752245992422104,1.4077634319033736,1.8142440649729281,1,0.07296562194824219,1.9017934799194336,llm_experiments_data/arrays/extended_imdb_1_pure_logits_greedy_unique_5_post_calib_2025-09-14.npz
imdb,0,pure_logits,greedy_unique_5_baseline,5,5,0.11497282236814499,,,,0.11054158210754395,0.0,llm_experiments_data/arrays/extended_imdb_0_pure_logits_greedy_unique_5_baseline_2025-09-14.npz
imdb,0,pure_logits,greedy_50_baseline,50,19,0.10307570546865463,,,,1.9588792324066162,0.0,llm_experiments_data/arrays/extended_imdb_0_pure_logits_greedy_50_baseline_2025-09-14.npz
imdb,0,pure_logits,greedy_50_temp_baseline,50,19,0.10304928570985794,1.0163265306122449,,,1.9588792324066162,0.011097431182861328,llm_experiments_data/arrays/extended_imdb_0_pure_logits_greedy_50_temp_baseline_2025-09-14.npz
imdb,0,pure_logits,greedy_unique_5_temp_baseline,5,5,0.10353150218725204,1.4571428571428573,,,0.11054158210754395,0.00786447525024414,llm_experiments_data/arrays/extended_imdb_0_pure_logits_greedy_unique_5_temp_baseline_2025-09-14.npz
imdb,0,pure_logits,greedy_unique_5_post_calib,5,5,0.10069886595010757,1.6423157017909205,0.42982090795501876,1,0.11054158210754395,2.5573089122772217,llm_experiments_data/arrays/extended_imdb_0_pure_logits_greedy_unique_5_post_calib_2025-09-14.npz
imdb,0,pure_logits,greedy_50_post_calib,50,19,0.09718386083841324,1.53076218242399,0.614743856726364,1,1.9588792324066162,11.508468389511108,llm_experiments_data/arrays/extended_imdb_0_pure_logits_greedy_50_post_calib_2025-09-14.npz
imdb,1,pure_logits,greedy_unique_5_baseline,5,5,0.1155015230178833,,,,0.09609293937683105,0.0,llm_experiments_data/arrays/extended_imdb_1_pure_logits_greedy_unique_5_baseline_2025-09-14.npz
