dataset,seed,method,ensemble_type,ensemble_size,ensemble_unique_size,nll_test,c1,c2,epi_scalar,ensemble_time,calibration_time,path,threshold,set_size,auc,aurac,aorac,ece,brier_score,conformal_coverage,conformal_set_size
imdb,0,pure_logits,greedy_5_baseline,5,5,0.1149728223681449,,,,0.1274385452270507,0.0,llm_experiments_data/arrays/extended_imdb_0_pure_logits_greedy_5_baseline_2025-09-23.npz,0.9855933637950631,1.10656,0.9932418336000001,0.9857826822410496,0.01421731775895041,0.015637482652664184,0.05486839187922005,1.0,1.988
imdb,0,pure_logits,greedy_50_baseline,50,19,0.1030757054686546,,,,0.1274385452270507,0.0,llm_experiments_data/arrays/extended_imdb_0_pure_logits_greedy_50_baseline_2025-09-23.npz,0.9428485727976632,1.10484,0.9911197216,0.9836921667602381,0.016307833239761926,0.0035138690805434896,0.051328589572566086,1.0,1.9858
imdb,0,pure_logits,greedy_50_temp_pool_then_calibrate,50,19,0.1030492857098579,1.0163265306122449,,,0.1274385452270507,0.0122811794281005,llm_experiments_data/arrays/extended_imdb_0_pure_logits_greedy_50_temp_pool_then_calibrate_2025-09-23.npz,0.9428485727976632,1.1076,0.991119744,0.9836921667602381,0.016307833239761926,0.0045679602384567156,0.05132844581317502,1.0,1.9858
imdb,0,pure_logits,greedy_5_temp_pool_then_calibrate,5,5,0.103531502187252,1.4571428571428573,,,0.1274385452270507,0.0085086822509765,llm_experiments_data/arrays/extended_imdb_0_pure_logits_greedy_5_temp_pool_then_calibrate_2025-09-23.npz,0.947060595353925,1.10616,0.9932418399999998,0.9857836251924876,0.014216374807512366,0.010784745342731463,0.05522692053594191,1.0,1.988
imdb,0,pure_logits,greedy_50_temp_calibrate_then_pool,50,19,0.0977856516838073,1.7804581424406498,0.0,1.0,0.1274385452270507,9.840031623840332,llm_experiments_data/arrays/extended_imdb_0_pure_logits_greedy_50_temp_calibrate_then_pool_2025-09-23.npz,0.9509621946209896,1.08748,0.9939596928000002,0.9863626881860448,0.013637311813955222,0.006272453458309167,0.0508596542288019,1.0,1.97975
imdb,0,pure_logits,greedy_5_temp_calibrate_then_pool,5,5,0.1006625220179557,1.6980924614743858,0.0,1.0,0.1274385452270507,1.2738196849822998,llm_experiments_data/arrays/extended_imdb_0_pure_logits_greedy_5_temp_calibrate_then_pool_2025-09-23.npz,0.9509621946209896,1.10196,0.9934939808000001,0.9856877241383181,0.014312275861681933,0.005191661128997806,0.05261848150161264,0.9999,1.9803
imdb,0,pure_logits,greedy_5_post_calib,5,5,0.1006988659501075,1.6423157017909205,0.4298209079550187,1.0,0.1274385452270507,13.318891763687134,llm_experiments_data/arrays/extended_imdb_0_pure_logits_greedy_5_post_calib_2025-09-23.npz,0.9509621946209896,1.10292,0.9934062496,0.9856744476531746,0.014325552346825421,0.0028231636214255972,0.05274565263548972,0.9999,1.97985
imdb,0,pure_logits,greedy_50_post_calib,50,19,0.0971838608384132,1.53076218242399,0.614743856726364,1.0,0.1274385452270507,34.18794250488281,llm_experiments_data/arrays/extended_imdb_0_pure_logits_greedy_50_post_calib_2025-09-23.npz,0.947060595353925,1.09612,0.9931797888,0.9856426274834353,0.01435737251656466,0.003886437060832958,0.050645390032384247,1.0,1.9828
imdb,1,pure_logits,greedy_5_baseline,5,5,0.1155015230178833,,,,0.1011195182800293,0.0,llm_experiments_data/arrays/extended_imdb_1_pure_logits_greedy_5_baseline_2025-09-23.npz,0.992191306592376,1.09372,0.9937293744074037,0.9861278677191443,0.013872132280855709,0.015171232542991648,0.0526311889659536,1.0,1.98435
imdb,1,pure_logits,greedy_50_baseline,50,18,0.1034343913197517,,,,0.1011195182800293,0.0,llm_experiments_data/arrays/extended_imdb_1_pure_logits_greedy_50_baseline_2025-09-23.npz,0.9579239491627013,1.11524,0.9910968269307643,0.9837534906872707,0.016246509312729307,0.003771661641597734,0.051363411967248175,1.0,1.9811
